I/elog            [] EasyLogger V2.2.99 is initialize success.
I/MAIN            [] Dog Init Success
D/GAIT            []  SWING t:0.000000, st:250.000000, x_swing:0.000000, x_support:35.000000, z:0.000000
D/GAIT            []  SWING t:1.000000, st:250.000000, x_swing:0.000582, x_support:34.999418, z:0.022107
D/GAIT            []  SWING t:2.000000, st:250.000000, x_swing:0.004654, x_support:34.995346, z:0.088413
D/GAIT            []  SWING t:3.000000, st:250.000000, x_swing:0.015706, x_support:34.984294, z:0.198877
D/GAIT            []  SWING t:4.000000, st:250.000000, x_swing:0.037220, x_support:34.962780, z:0.353429
D/GAIT            []  SWING t:5.000000, st:250.000000, x_swing:0.072675, x_support:34.927325, z:0.551971
D/GAIT            []  SWING t:6.000000, st:250.000000, x_swing:0.125538, x_support:34.874462, z:0.794378
D/GAIT            []  SWING t:7.000000, st:250.000000, x_swing:0.199268, x_support:34.800732, z:1.080497
D/GAIT            []  SWING t:8.000000, st:250.000000, x_swing:0.297309, x_support:34.702691, z:1.410146
D/GAIT            []  SWING t:9.000000, st:250.000000, x_swing:0.423090, x_support:34.576910, z:1.783119
D/GAIT            []  SWING t:10.000000, st:250.000000, x_swing:0.580022, x_support:34.419978, z:2.199179
D/GAIT            []  SWING t:11.000000, st:250.000000, x_swing:0.771498, x_support:34.228502, z:2.658063
D/GAIT            []  SWING t:12.000000, st:250.000000, x_swing:1.000886, x_support:33.999114, z:3.159482
D/GAIT            []  SWING t:13.000000, st:250.000000, x_swing:1.271534, x_support:33.728466, z:3.703119
D/GAIT            []  SWING t:14.000000, st:250.000000, x_swing:1.586761, x_support:33.413239, z:4.288630
D/GAIT            []  SWING t:15.000000, st:250.000000, x_swing:1.949860, x_support:33.050140, z:4.915646
D/GAIT            []  SWING t:16.000000, st:250.000000, x_swing:2.364091, x_support:32.635909, z:5.583771
D/GAIT            []  SWING t:17.000000, st:250.000000, x_swing:2.832685, x_support:32.167315, z:6.292582
D/GAIT            []  SWING t:18.000000, st:250.000000, x_swing:3.358835, x_support:31.641165, z:7.041633
D/GAIT            []  SWING t:19.000000, st:250.000000, x_swing:3.945701, x_support:31.054299, z:7.830449
D/GAIT            []  SWING t:20.000000, st:250.000000, x_swing:4.596404, x_support:30.403596, z:8.658533
D/GAIT            []  SWING t:21.000000, st:250.000000, x_swing:5.314022, x_support:29.685978, z:9.525361
D/GAIT            []  SWING t:22.000000, st:250.000000, x_swing:6.101594, x_support:28.898406, z:10.430387
D/GAIT            []  SWING t:23.000000, st:250.000000, x_swing:6.962113, x_support:28.037887, z:11.373038
D/GAIT            []  SWING t:24.000000, st:250.000000, x_swing:7.898527, x_support:27.101473, z:12.352719
D/GAIT            []  SWING t:25.000000, st:250.000000, x_swing:8.913734, x_support:26.086266, z:13.368811
D/GAIT            []  SWING t:26.000000, st:250.000000, x_swing:10.010586, x_support:24.989414, z:14.420673
D/GAIT            []  SWING t:27.000000, st:250.000000, x_swing:11.191880, x_support:23.808120, z:15.507640
D/GAIT            []  SWING t:28.000000, st:250.000000, x_swing:12.460361, x_support:22.539639, z:16.629025
D/GAIT            []  SWING t:29.000000, st:250.000000, x_swing:13.818718, x_support:21.181282, z:17.784121
