SWING t:0.000000, st:100.000000, T=0.000000, Kx:0.000000, Kz:0.000000, x_swing:0.000000, x_support:40.000000, z:0.000000
SWING t:0.000000, st:100.000000, T=0.000000, Kx:0.000000, Kz:0.000000, x_swing:0.000000, x_support:40.000000, z:0.000000
SWING t:0.000000, st:100.000000, T=0.000000, Kx:0.000000, Kz:0.000000, x_swing:0.000000, x_support:40.000000, z:0.000000
SWING t:0.000000, st:100.000000, T=0.000000, Kx:0.000000, Kz:0.000000, x_swing:0.000000, x_support:40.000000, z:0.000000
SWING t:0.200000, st:100.000000, T=0.012566, Kx:0.000000, Kz:0.000039, x_swing:0.000002, x_support:39.999998, z:0.001777
SWING t:0.200000, st:100.000000, T=0.012566, Kx:0.000000, Kz:0.000039, x_swing:0.000002, x_support:39.999998, z:0.001777
SWING t:0.200000, st:100.000000, T=0.012566, Kx:0.000000, Kz:0.000039, x_swing:0.000002, x_support:39.999998, z:0.001777
SWING t:0.200000, st:100.000000, T=0.012566, Kx:0.000000, Kz:0.000039, x_swing:0.000002, x_support:39.999998, z:0.001777
SWING t:0.400000, st:100.000000, T=0.025133, Kx:0.000000, Kz:0.000158, x_swing:0.000017, x_support:39.999983, z:0.007106
SWING t:0.400000, st:100.000000, T=0.025133, Kx:0.000000, Kz:0.000158, x_swing:0.000017, x_support:39.999983, z:0.007106
SWING t:0.400000, st:100.000000, T=0.025133, Kx:0.000000, Kz:0.000158, x_swing:0.000017, x_support:39.999983, z:0.007106
SWING t:0.400000, st:100.000000, T=0.025133, Kx:0.000000, Kz:0.000158, x_swing:0.000017, x_support:39.999983, z:0.007106
SWING t:0.600000, st:100.000000, T=0.037699, Kx:0.000001, Kz:0.000355, x_swing:0.000057, x_support:39.999943, z:0.015987
SWING t:0.600000, st:100.000000, T=0.037699, Kx:0.000001, Kz:0.000355, x_swing:0.000057, x_support:39.999943, z:0.015987
SWING t:0.600000, st:100.000000, T=0.037699, Kx:0.000001, Kz:0.000355, x_swing:0.000057, x_support:39.999943, z:0.015987
SWING t:0.600000, st:100.000000, T=0.037699, Kx:0.000001, Kz:0.000355, x_swing:0.000057, x_support:39.999943, z:0.015987
SWING t:0.800000, st:100.000000, T=0.050265, Kx:0.000003, Kz:0.000632, x_swing:0.000135, x_support:39.999865, z:0.028418
SWING t:0.800000, st:100.000000, T=0.050265, Kx:0.000003, Kz:0.000632, x_swing:0.000135, x_support:39.999865, z:0.028418
SWING t:0.800000, st:100.000000, T=0.050265, Kx:0.000003, Kz:0.000632, x_swing:0.000135, x_support:39.999865, z:0.028418
SWING t:0.800000, st:100.000000, T=0.050265, Kx:0.000003, Kz:0.000632, x_swing:0.000135, x_support:39.999865, z:0.028418
SWING t:1.000000, st:100.000000, T=0.062832, Kx:0.000007, Kz:0.000987, x_swing:0.000263, x_support:39.999737, z:0.044399
SWING t:1.000000, st:100.000000, T=0.062832, Kx:0.000007, Kz:0.000987, x_swing:0.000263, x_support:39.999737, z:0.044399
SWING t:1.000000, st:100.000000, T=0.062832, Kx:0.000007, Kz:0.000987, x_swing:0.000263, x_support:39.999737, z:0.044399
